cname,wdi_pop,wdi_popgr,wdi_gdpcapcur,wdi_gdpcapgr,wdi_area,wdi_broadb,ht_region
Afghanistan,40099462.0,2.85135765449931,355.7778263926477,-22.966941994595828,652230.0,0.0664243,8
Albania,2811666.0,-0.926918061639398,6377.2030955375285,9.92271370805365,27400.0,19.6304,1
Algeria,44177969.0,1.65770320084269,4216.251285130302,2.093487611438178,2381741.0,9.33184,3
Andorra,79034.0,1.70228822534561,42066.49051788219,6.459440531800183,470.0,50.2769,5
Angola,34503774.0,3.16602986153025,1927.474078276873,-1.95459800636894,1246700.0,0.390925,4
Antigua and Barbuda,93219.0,0.597151594527623,17178.54371605216,7.5475750602971345,440.0,8.66279,10
Azerbaijan,10137750.0,0.441197735816311,5408.045351750229,5.151500068706611,82650.0,20.0857,1
Argentina,45808747.0,0.947490959333989,10650.860460434518,9.67392093465429,2736690.0,23.15,2
Australia,25685412.0,0.14089508329287,60697.24543585788,1.968061645749458,7692020.0,35.836,5
Austria,8955797.0,0.435671684056384,53517.89045096115,3.784719696540392,82520.0,29.2537,5
Bahamas (the),407906.0,0.352416997336031,27871.372325977063,14.997164429850685,10010.0,20.7423,10
Bahrain,1463265.0,-0.966024840061971,26850.0033915702,3.5862590018989096,790.0,16.5058,3
Bangladesh,169356251.0,1.14931847631384,2457.964465701565,5.716649087224951,130170.0,6.64247,8
Armenia,2790974.0,-0.522963242641951,4972.78320361917,6.354744401718463,28470.0,16.2566,1
Barbados,281200.0,0.180461453548187,17586.33001422475,-1.3613625505985567,430.0,36.3513,10
Belgium,11586195.0,0.411601996532257,51863.83115650539,6.488770412726595,30280.0,43.0218,5
Bhutan,777486.0,0.642586172837449,3561.2252866050467,3.752521378590188,38140.0,0.364566,8
Bolivia (Plurinational State of),12079472.0,1.19348671867883,3345.023002097961,4.852474889254893,1083300.0,9.44574,2
Bosnia and Herzegovina,3270943.0,-1.44065259604193,7237.274462506652,8.94827661601434,51200.0,24.5891,1
Botswana,2588423.0,1.6367427551677,7244.158547556661,10.103693502393996,566730.0,5.54838,4
Brazil,214326223.0,0.528590452919416,7794.88097933152,4.210300253531571,8358140.0,19.8363,2
Belize,400031.0,1.28562992065572,6060.9682234084485,16.356871750373074,22810.0,9.10595,10
Solomon Islands,707851.0,2.3817422996453,2151.29301659728,0.1503924850486271,27990.0,0.131132,9
Brunei Darussalam,445373.0,0.822461681539278,31448.912748293696,-2.396821562880959,5270.0,17.581,7
Bulgaria,6877743.0,-0.814846471528947,12219.341870677905,8.542609991878166,108560.0,32.7688,1
Myanmar,53798084.0,0.699278204168444,1233.2277699735228,-12.629476663084546,652670.0,1.67276,7
Burundi,12551213.0,2.67247846179476,221.1578034298537,0.3811666397654676,25680.0,0.0304886,4
Belarus,9302585.0,-0.82823272086807,7489.718947138883,3.29082150587152,202950.0,35.0098,1
Cambodia,16589023.0,1.16513584860257,1625.2350214797902,1.832958017193505,176520.0,1.98089,7
Cameroon,27198628.0,2.63581940586039,1654.2570373059248,0.6506160445270552,472710.0,2.23385,4
Canada,38239864.0,0.553902422386893,52496.84416932424,4.705382051873514,8788700.0,41.6931,5
Cabo Verde,587925.0,0.90298888332359,3489.9733973645925,6.071379817770932,4030.0,5.90962,4
Central African Republic (the),5457154.0,2.11363722558977,461.13751095604727,-1.129093809989655,622980.0,0.00976115,4
Sri Lanka,22156000.0,1.07544995696428,3999.338001555919,3.09279134925238,61860.0,10.5401,8
Chad,17179740.0,3.16388750517031,685.690314996618,-4.2471345954163695,1259200.0,0.0,4
Chile,19493184.0,0.994344898418259,16185.914770954783,10.232399264884862,743532.0,22.014,2
China,1412360000.0,0.0892522000412526,12617.50510411806,8.351719953941725,9388210.0,37.5612,6
Taiwan (Province of China),,,,,,,6
Colombia,51516562.0,1.14382091580962,6182.955943865104,9.541051559976935,1109500.0,16.4768,2
Comoros (the),821625.0,1.89944099480128,1577.4708412229163,0.1909390044018977,1861.0,0.150457,4
Congo (the),5835806.0,2.31648825280279,2540.470024197308,-1.2980340617502293,341500.0,0.2569,4
Congo (the Democratic Republic of the),95894118.0,3.22252815991252,576.974729394136,2.83237932472882,2267050.0,0.0312661,4
Costa Rica,5153957.0,0.600406861056438,12604.048837465378,7.289650116799024,51060.0,20.9243,2
Croatia,3878981.0,-4.25713872008371,17943.415126672993,17.957364489295458,55960.0,26.7158,1
Cuba,11256372.0,-0.393012541562472,9499.57250428248,1.6524161408896845,103800.0,2.67323,2
Cyprus,1244188.0,0.535999429698235,32745.83984375,8.891983925275085,9240.0,37.6671,3
Czechia,10505772.0,-1.81187141002542,26822.514186211123,5.446369618011701,77186.83,37.4985,1
Benin,12996895.0,2.75970517933377,1360.9114738816877,4.238708959167809,112760.0,0.154167,4
Denmark,5856733.0,0.433414489409722,69268.65179831337,6.3824443416568215,40000.0,44.9598,5
Dominica,72412.0,0.577535935346367,7668.158132169621,6.274997310633481,750.0,20.9562,10
Dominican Republic (the),11117873.0,1.06892666709415,8476.749638925061,11.078276320836425,47531.0,10.3195,2
Ecuador,17797737.0,1.18206337539033,6036.447274167496,8.527936631366046,248360.0,14.0284,2
El Salvador,6314167.0,0.340068122361035,4599.678785816086,11.524855615514111,20720.0,9.80538,2
Equatorial Guinea,1634466.0,2.37849451867221,7473.926060692964,-1.510381370053807,28050.0,0.097681,4
Ethiopia,120283026.0,2.60431928274974,925.0006975915796,2.9258045453589574,1128571.265,0.399382,4
Eritrea,3620312.0,1.7961013366299,,,121040.829,0.149246,4
Estonia,1330932.0,0.105996956310127,27698.47934502669,7.135705560575772,42750.0,37.3572,1
Fiji,924610.0,0.45397664568484,4656.051361916799,-5.31187538268118,18270.0,2.51573,9
Finland,5541017.0,0.207288594407348,53504.69364834407,2.625228575013949,303947.7,33.6397,5
France,67764304.0,0.285508618638434,43671.30840996309,6.131761315977741,547557.0,47.6442,5
Djibouti,1105557.0,1.40284750995694,3062.551482076429,3.066295568536773,23180.0,1.39113,4
Gabon,2341179.0,2.09798810279019,8635.79714374956,-0.638652872887107,257670.0,2.65142,4
Georgia,3708610.0,-0.379636607027231,5083.606954845773,11.06507800678311,69490.0,26.6464,1
Gambia (the),2639916.0,2.52879318000917,762.9632316535592,2.6276356500391813,10120.0,0.194099,4
Germany,83196078.0,0.0423270572552137,51426.75036544215,3.1201629728191875,349390.0,44.0643,5
Ghana,32833031.0,2.00774487031161,2422.0859128502107,2.987836412426674,227533.0,0.352238,4
Kiribati,128874.0,1.88854075847608,2244.1107306874706,6.675915510373471,810.0,0.0864641,9
Greece,10569207.0,-1.21680248998544,20310.68247988728,9.706769692662292,128900.0,41.9213,5
Grenada,124610.0,0.762873605069601,9010.5127999358,3.891883579614429,340.0,26.1175,10
Guatemala,17109746.0,1.4803168061015,5029.477554840931,6.415405551862619,107160.0,3.47754,2
Guinea,13531906.0,2.44431721949133,1189.1759994587428,1.3911415514146483,245720.0,0.00729367,4
Guyana,804567.0,0.919614738982755,9994.64570422569,18.908981748635227,196850.0,11.6496,10
Haiti,11447569.0,1.23729899666313,1823.7422244528468,-3.005803291401449,27560.0,0.272537,2
Honduras,10278345.0,1.5351396675707,2738.21626989704,10.850446301704324,111890.0,4.09584,2
Hungary,9709891.0,-0.413751024472153,18755.102346431155,7.505105162017742,91260.0,34.8392,1
Iceland,372520.0,1.6393166402584,69252.3112431448,3.439046757723844,100830.0,38.4077,5
India,1407563842.0,0.797216093898126,2250.1790176424,8.818605843088932,2973190.0,1.9488,8
Indonesia,273753191.0,0.694717688319757,4334.231454079126,2.984940073431701,1892555.47,4.48746,7
Iran (Islamic Republic of),87923432.0,0.722822505475776,4084.2003047864746,3.965568690562392,1622500.0,12.0681,3
